PROPERTYSQFT,PRICE
845.0,288000
1750.0,999995
1350.0,1495000
1000.0,925000
2184.207862,349000
3000.0,2000000
1376.0,839000
820.0,329000
3683.0,899000
2184.207862,615000
1257.0,800000
1248.0,430000
1288.0,499000
1400.0,439500
2184.207862,299000
6493.0,2580000
613.0,200000
2184.207862,425000
850.0,69000
1546.0,1995000
620.0,230000
590.0,220000
2184.207862,198000
2184.207862,1495000
615.0,475000
2184.207862,199900
1444.0,1150000
2184.207862,1575000
2184.207862,229000
2184.207862,2700000
936.0,320000
700.0,295000
2184.207862,550000
1000.0,285000
800.0,328000
2184.207862,1388000
2184.207862,3000000
2184.207862,2198888
2310.0,650000
890.0,1100000
4050.0,2649000
800.0,849000
2184.207862,6500000
550.0,560000
890.0,1100000
4050.0,2649000
800.0,849000
900.0,418888
3978.0,2600000
2160.0,899000
2860.0,979000
2184.207862,199000
2184.207862,815000
800.0,1025000
920.0,1375000
1437.0,875000
3000.0,1350000
2184.207862,989000
2945.0,815156
2560.0,1949000
1893.0,669000
2184.207862,900500
2184.207862,1465000
1100.0,899000
726.0,1100000
2184.207862,1199000
2184.207862,325000
1176.0,599000
2184.207862,1230000
2184.207862,3950000
10000.0,2147483647
3383.0,1350000
1800.0,799000
5600.0,1599000
2755.0,1299900
2184.207862,370000
2184.207862,3225
2184.207862,3649000
2324.0,860000
2205.0,765000
750.0,259000
3135.0,1500000
1005.0,850000
2184.207862,2494
2184.207862,99000
750.0,535000
2342.0,849998
2184.207862,1100000
1574.0,998000
2184.207862,1500000
2860.0,875000
1144.0,2350000
1908.0,850000
2248.0,4000000
2184.207862,1200000
3809.0,12000000
2184.207862,1300000
585.0,799000
250.0,339000
2680.0,875000
2296.0,799000
2296.0,799000
1380.0,285000
1340.0,2499000
1440.0,795000
2184.207862,1799995
1224.0,250000
3000.0,5999000
1606.0,668000
1470.0,699900
4600.0,5295000
1123.0,2265000
950.0,459000
2900.0,1369000
2184.207862,879000
679.0,559000
2184.207862,869888
2184.207862,799888
1040.0,749000
2184.207862,499000
2193.0,1295000
2242.0,879900
1150.0,400000
2184.207862,699999
666.0,289000
616.0,699000
2184.207862,5800
3100.0,479000
1002.0,1355000
882.0,1225000
4531.0,9999000
656.0,105000
952.0,300000
2400.0,799000
1453.0,202000
1430.0,720000
2184.207862,600000
1200.0,599000
860.0,235000
960.0,319000
2184.207862,950000
2184.207862,1088888
3300.0,1250000
2184.207862,650000
960.0,774888
650.0,105509
2184.207862,995000
2184.207862,995000
1728.0,769000
1100.0,395995
900.0,975000
1744.0,499999
2184.207862,1649000
2184.207862,365000
1620.0,748999
2184.207862,635000
400.0,149000
1760.0,1099000
2184.207862,3950000
2400.0,1529999
1404.0,675000
2184.207862,2650000
2184.207862,420000
2184.207862,2999950
980.0,559900
2184.207862,549000
950.0,999000
2184.207862,289000
2184.207862,790000
3632.0,2295000
3000.0,1150000
9026.0,13995000
2184.207862,6100000
2184.207862,350000
2184.207862,450000
2184.207862,2999999
2184.207862,2500000
2184.207862,350000
2184.207862,150000
2184.207862,3600000
2184.207862,150000
1400.0,235000
2184.207862,199000
2184.207862,2000000
2184.207862,2200000
2184.207862,650000
2184.207862,149000
2000.0,215000
2184.207862,799999
2184.207862,299000
2184.207862,265000
2184.207862,795000
2184.207862,1245000
2184.207862,549000
2888.0,7495000
4080.0,2850000
747.0,215000
2184.207862,299000
1104.0,275000
2100.0,898000
900.0,275000
1682.0,599000
730.0,189000
1575.0,678990
1824.0,800000
1092.0,549000
2000.0,849000
2184.207862,675000
664.0,130000
2184.207862,759999
978.0,489000
1750.0,799900
2184.207862,295000
1010.0,159000
1144.0,999500
2310.0,589000
850.0,329000
1881.0,799000
1580.0,1188000
1400.0,729000
1495.0,614900
1500.0,599000
2184.207862,950000
2184.207862,11000000
2184.207862,348000
540.0,965000
2280.0,1095000
1242.0,2295000
2184.207862,13500000
800.0,49500
2256.0,460000
2184.207862,825000
1590.0,1230250
1344.0,799999
2184.207862,259500
4920.0,1300000
1300.0,749000
660.0,265000
900.0,575000
2180.0,849000
1214.0,875000
1360.0,599999
2184.207862,1150000
3840.0,1188000
2640.0,579900
2440.0,1295000
1376.0,250000
2184.207862,1395000
1751.0,1648000
2184.207862,1675000
1748.0,950000
2184.207862,449500
500.0,184888
500.0,399000
1078.0,209000
1100.0,280000
2184.207862,625000
2184.207862,275000
2049.0,924800
2112.0,1300000
2288.0,995000
4105.0,16500000
1793.0,695000
4105.0,16500000
1793.0,695000
1738.0,998000
1980.0,899000
2184.207862,849000
2184.207862,235000
2184.207862,399999
1701.0,520000
2184.207862,485000
1100.0,215000
2640.0,1288000
900.0,270000
1200.0,375000
2184.207862,565000
2184.207862,849000
2184.207862,199000
9000.0,5500000
2184.207862,899000
2350.0,699000
8139.0,27750000
1148.0,739000
1700.0,425000
900.0,300000
1780.0,569000
1273.0,789000
2753.0,10500000
825.0,350000
6312.0,5895000
2184.207862,1250000
2264.0,1499999
2184.207862,1488000
2184.207862,285000
2184.207862,699000
1404.0,924900
2318.0,560000
5100.0,1998000
2184.207862,309000
2160.0,925000
2184.207862,999000
833.0,699000
2184.207862,278500
2184.207862,738000
2700.0,900000
1470.0,369000
1620.0,609000
1278.0,758000
1890.0,728000
1200.0,314900
4443.0,2848000
2046.0,1298000
2500.0,1095000
1286.0,434900
1350.0,375000
6000.0,1375000
2400.0,4680000
1200.0,549000
1400.0,549000
1520.0,950000
2184.207862,388000
4917.0,5600000
3472.0,1600000
3912.0,6995000
2184.207862,1399000
1350.0,399000
630.0,529900
2184.207862,999000
2184.207862,575000
2184.207862,659900
2385.0,2200000
1550.0,898888
3427.0,1250000
2240.0,1188000
2080.0,869999
1050.0,219000
1840.0,210000
2184.207862,799000
1100.0,298000
3500.0,1248888
955.0,1075000
1572.0,1695000
1887.0,3795000
2184.207862,550000
2184.207862,775000
800.0,249900
1152.0,650000
2184.207862,410000
4320.0,1650000
1100.0,1600000
2184.207862,325000
900.0,275000
1620.0,700000
2184.207862,930000
704.0,379000
1376.0,1150000
1100.0,568888
2052.0,1200000
2550.0,899900
1200.0,799999
2184.207862,300000
3098.0,750000
1196.0,669999
1200.0,575000
2184.207862,299000
1440.0,548800
12300.0,28500000
2184.207862,259000
2184.207862,425000
2200.0,950000
600.0,185000
2364.0,1688888
2184.207862,259000
2200.0,950000
2364.0,1688888
2184.207862,689000
2184.207862,419000
2184.207862,1199000
2184.207862,2150000
2208.0,899000
2184.207862,675000
2184.207862,875000
1130.0,899000
2184.207862,219000
600.0,120000
2184.207862,470000
950.0,229000
11760.0,3000000
2184.207862,1199000
2961.0,1498000
2000.0,2000000
6569.0,50000000
2184.207862,550000
1176.0,499000
2202.0,800000
798.0,239000
8750.0,29950000
1440.0,674999
7200.0,14000000
950.0,1228000
2400.0,880000
2184.207862,369888
2184.207862,500000
2184.207862,499000
3800.0,2998888
850.0,175849
1445.0,499000
1952.0,899975
2050.0,1474000
6300.0,2750000
3428.0,3999000
1700.0,1288000
1428.0,499000
2400.0,989000
2184.207862,650000
4803.0,1999999
3750.0,5990000
2184.207862,1235000
2184.207862,785000
1750.0,750000
2184.207862,1400000
2464.0,865000
2184.207862,324000
3750.0,1100000
2184.207862,2295000
2570.0,8950000
2450.0,1348888
850.0,220000
2184.207862,185000
1350.0,499000
1980.0,999999
2000.0,4995000
2184.207862,700000
1820.0,1180000
2184.207862,609000
950.0,250000
2184.207862,689000
2184.207862,585000
550.0,109500
640.0,299000
1987.0,995000
3144.0,1499000
2184.207862,299000
550.0,279000
2184.207862,235000
2184.207862,17900000
2288.0,950000
950.0,859000
2000.0,1999000
2988.0,1458888
2184.207862,650000
1400.0,1100000
554.0,478900
965.0,2795000
2624.0,560000
2024.0,868000
2184.207862,999000
2184.207862,1590000
375.0,149000
1355.0,594900
2184.207862,799000
2184.207862,985000
2625.0,685000
1188.0,479888
2184.207862,2500000
514.0,355000
2184.207862,260000
4057.0,2600000
2184.207862,2500000
2184.207862,220000
1549.0,489000
2375.0,1288000
1260.0,200000
2184.207862,625000
1724.0,2245000
2184.207862,899000
1330.0,575000
1640.0,588888
2184.207862,650000
2184.207862,899999
850.0,315000
4073.0,1599999
5660.0,10000000
2230.0,825000
1860.0,795000
1325.0,690000
2720.0,1249949
2184.207862,799000
2184.207862,115000
2394.0,2088000
1766.0,699000
650.0,119000
2184.207862,1275000
2184.207862,410000
900.0,309900
1034.0,435000
2184.207862,879000
622.0,325000
2184.207862,1195000
2200.0,1900000
2184.207862,868000
2184.207862,1770000
1480.0,899000
960.0,990000
2184.207862,818000
2184.207862,409000
1474.0,679000
2184.207862,259000
2280.0,850000
6000.0,8750000
953.0,495000
800.0,825000
1800.0,1075000
4000.0,1950000
5130.0,6800000
2184.207862,7999000
900.0,578000
4373.0,8995000
1360.0,629000
993.0,329900
2184.207862,1788888
2184.0,899000
750.0,2150000
2905.0,1290000
2184.207862,109000
1344.0,545000
960.0,307000
750.0,595000
2452.0,1088888
1912.0,650000
15000.0,4380000
1740.0,949999
1998.0,879000
2886.0,850000
1200.0,675000
900.0,199000
430.0,395000
2184.207862,368000
2754.0,999999
782.0,374900
2184.207862,365000
2184.207862,25500000
3036.0,999000
2184.207862,825000
2184.207862,889000
789.0,225000
2250.0,799500
2184.207862,779000
3240.0,1880000
5000.0,3000000
2184.207862,480000
2184.207862,820000
800.0,385000
2184.207862,709999
1500.0,699000
1400.0,649000
1618.0,529000
750.0,325000
1392.0,999000
1064.0,160000
1884.0,3895000
2184.207862,699000
1165.0,615000
800.0,249000
1998.0,1290000
2375.0,850000
1140.0,588000
2184.207862,1790000
2184.207862,1175000
2184.207862,579000
850.0,249000
3600.0,2480000
2270.0,999000
750.0,228500
2184.207862,305000
3600.0,1500000
2185.0,778000
1320.0,850000
2184.207862,428000
2184.207862,639000
2184.207862,835000
1560.0,1250000
2160.0,1695000
1440.0,502900
1420.0,749000
2248.0,529000
2184.207862,705000
2184.207862,549000
48000.0,7200000
745.0,335000
2184.207862,599000
1059.0,334999
2184.207862,295000
2184.207862,560000
2184.207862,549000
745.0,335000
1059.0,334999
2184.207862,295000
2279.0,799000
1046.0,720000
750.0,249999
2184.207862,850000
2184.207862,750000
2184.207862,625000
896.0,650000
5939.0,4845000
2184.207862,580000
2184.207862,887785
701.0,499999
1348.0,599000
2169.0,1149000
2400.0,988000
1884.0,764600
2184.207862,699900
4296.0,5495000
7723.0,3900000
2184.207862,999000
5100.0,10495000
2184.207862,188000
1232.0,499900
2184.207862,545000
2184.207862,705000
2184.207862,1289000
2184.207862,389000
2184.207862,350000
2184.207862,1289000
1232.0,499900
2184.207862,350000
2184.207862,295000
2184.207862,918000
3176.0,1799000
1827.0,989000
2144.0,890000
1164.0,469888
2184.207862,310000
2184.207862,479000
2184.207862,1290000
3376.0,4250000
3700.0,7400000
2184.207862,899000
5834.0,16500000
1300.0,659000
2184.207862,1150000
2184.207862,499000
1476.0,725000
2184.207862,929000
1600.0,629000
1428.0,285000
2184.207862,315000
824.0,698000
2184.207862,849000
4900.0,1775000
2160.0,3850000
3180.0,4500000
988.0,465000
2280.0,869900
2034.0,699000
864.0,799000
2184.207862,290000
2076.0,575000
2184.207862,290000
2472.0,500000
4600.0,2750000
766.0,495000
2279.0,1199000
1500.0,605000
2184.207862,550000
1065.0,768000
1711.0,2099000
1480.0,575000
1224.0,639000
2184.207862,525000
2160.0,850000
2600.0,674999
2184.207862,345000
3443.0,788888
1160.0,379000
814.0,1495000
1788.0,2288000
2184.207862,699000
900.0,250000
2184.207862,1120000
20000.0,25000000
2184.207862,858000
1000.0,1275000
2192.0,1070000
5353.0,4800000
6630.0,14600000
2184.207862,895000
2400.0,1250000
2184.207862,1788000
1344.0,799000
2184.207862,879000
2400.0,963000
2184.207862,998000
1000.0,950000
2184.207862,410000
900.0,269000
7000.0,8500000
2184.207862,1195000
1069.0,550000
10720.0,2800000
2184.207862,940000
2184.207862,865000
4412.0,7995000
1284.0,690000
2184.207862,330000
5000.0,8750000
1200.0,619000
1050.0,899000
1144.0,1175000
6000.0,2999000
1793.0,1395000
2184.207862,800000
686.0,499000
2743.0,1625000
1444.0,799999
3150.0,1139000
1650.0,529000
1200.0,300000
1802.0,799000
1526.0,869000
1480.0,749000
875.0,240900
2184.207862,1295000
6200.0,3850000
1716.0,549000
750.0,129000
900.0,475000
1408.0,980000
1824.0,1199000
3134.0,1299999
1100.0,265000
2184.207862,262500
11250.0,2699000
3300.0,1200000
2184.207862,850000
11250.0,2699000
2720.0,989000
3300.0,1200000
1800.0,899999
3045.0,2780000
1050.0,999000
2184.207862,699000
445.0,60000
1248.0,499999
1272.0,599999
2000.0,725000
1780.0,998888
2700.0,980000
2184.207862,800000
4450.0,1299000
1128.0,799000
3080.0,995000
2295.0,1250000
2184.207862,1275000
3150.0,749999
4100.0,2650000
2184.207862,999000
2184.207862,279000
1008.0,479000
1600.0,2300000
1074.0,294000
2245.0,1390000
1026.0,450000
2184.207862,999000
3420.0,1999000
2184.207862,1288000
1376.0,639888
2180.0,569900
2184.207862,1630000
1300.0,689888
2184.207862,378000
7110.0,23900000
2184.207862,149000
1320.0,589000
2259.0,958000
2184.207862,195000
608.0,299000
3645.0,1750000
2184.207862,815000
2184.207862,989000
2184.207862,1075000
1000.0,879000
2184.207862,999995
1200.0,430000
2184.207862,445000
1900.0,999000
2184.207862,2299000
1960.0,1225000
2184.207862,849000
1760.0,1350000
3150.0,1600000
441.0,600000
2184.207862,435000
4342.0,4999999
2184.207862,800000
750.0,329000
2184.207862,10975000
2184.207862,599000
2184.207862,699999
725.0,539000
2184.207862,370000
2184.207862,1499000
2184.207862,299000
3800.0,2400000
850.0,275000
1750.0,1395000
550.0,568000
2184.207862,1049000
550.0,568000
2184.207862,1049000
1200.0,899000
2184.207862,495000
1328.0,535000
1596.0,799999
1274.0,1989000
2223.0,699000
900.0,369000
2100.0,599000
680.0,169000
1600.0,749000
3500.0,1099000
1364.0,475000
676.0,124900
1943.0,619000
1008.0,599000
1486.0,689900
10100.0,5900000
815.0,249000
2184.207862,509000
1150.0,549000
2184.207862,2995000
3850.0,1999000
2184.207862,350000
2184.207862,269000
2184.207862,7500000
2184.207862,9950000
1779.0,2200000
1800.0,479000
2184.207862,60000000
2184.207862,329000
4384.0,1500000
2184.207862,560000
2160.0,588000
1652.0,3300000
1800.0,479000
2184.207862,169999
950.0,439000
1760.0,758000
2184.207862,448000
2160.0,588000
2601.0,2977000
900.0,385000
1928.0,1475000
2184.207862,978000
1398.0,2700000
9500.0,3500000
900.0,349000
1596.0,790000
995.0,750000
995.0,1195000
995.0,1750000
2868.0,874999
900.0,324900
791.0,97500
2035.0,2200000
1798.0,999000
995.0,550000
1100.0,519999
1100.0,729000
3900.0,999999
7200.0,2898555
2184.207862,611999
2100.0,1500000
4959.0,5600000
857.0,299999
6300.0,2358000
1260.0,748888
1450.0,630000
1043.0,1389000
925.0,319000
2184.207862,319000
2184.207862,1250000
1848.0,1199000
3328.0,1500000
1320.0,780000
2184.207862,350000
750.0,255000
905.0,649000
1596.0,1480000
1824.0,628000
875.0,190000
2184.207862,450000
5600.0,2473888
1950.0,785000
1240.0,699900
2184.207862,2495000
850.0,149999
610.0,208000
750.0,172800
3933.0,1768888
2250.0,1239998
5500.0,1699000
2184.207862,1350000
2362.0,889000
1100.0,1300000
675.0,310000
22035.0,11000000
3617.0,1149000
585.0,239900
450.0,257000
1860.0,1090000
2184.207862,799999
3976.0,2045000
2700.0,1195000
900.0,340000
1596.0,1375000
1644.0,749000
2184.207862,1399000
1880.0,775000
1860.0,1090000
900.0,340000
2184.207862,948000
2184.207862,1399000
2184.207862,880000
600.0,699000
2184.207862,2250000
2184.207862,319000
2184.207862,1300000
1800.0,729000
800.0,425000
2184.207862,399000
652.0,625000
700.0,269000
1440.0,449000
2300.0,699000
1250.0,550000
2058.0,799900
1200.0,758000
1680.0,829000
1230.0,789000
8500.0,24990000
2184.207862,2250000
2184.207862,359000
1440.0,1439000
3280.0,1050000
503.0,134500
9075.0,11900000
2000.0,270000
2184.207862,2280000
2184.207862,278999
2184.207862,2280000
2184.207862,625000
2000.0,270000
1344.0,605000
1150.0,529000
2184.207862,1050000
2184.207862,225000
1224.0,1049000
2184.207862,259000
2184.207862,599000
1316.0,675000
1862.0,3595000
1871.0,789000
1872.0,998000
2280.0,889000
1820.0,825000
3490.0,599999
2184.207862,10999000
2184.207862,2750000
1064.0,649000
3960.0,989000
1100.0,357000
2184.207862,25000000
2184.207862,119888
2185.0,1099999
2184.207862,749000
1680.0,589999
12492.0,6995000
8725.0,22500000
1332.0,749000
1156.0,499000
2184.207862,859000
2184.207862,599999
1324.0,899000
850.0,315000
5301.0,1999999
1746.0,950000
6798.0,13950000
3375.0,1399000
660.0,595000
2200.0,1618000
2184.207862,485000
1592.0,748000
1928.0,1100000
5046.0,3995000
440.0,659000
2018.0,1099000
1102.0,319000
3168.0,999000
1571.0,398000
500.0,249000
2648.0,1299000
6336.0,8950000
1500.0,750000
1916.0,1100000
2380.0,1275000
750.0,689000
2184.207862,320000
2184.207862,3995000
2500.0,1399000
1089.0,395000
2273.0,1250000
1440.0,719000
1171.0,795000
2184.207862,1175000
2054.0,4250000
2201.0,2500000
1600.0,850000
2948.0,1350000
2200.0,929000
2184.207862,549990
2184.207862,34000000
2184.207862,1550000
2184.207862,265000
1630.0,879000
2184.207862,1200000
4250.0,7500000
2184.207862,325000
2184.207862,755000
2184.207862,325000
2184.207862,1395000
980.0,649000
800.0,499999
2720.0,999998
2184.207862,1358000
2184.207862,1650000
2184.207862,680000
650.0,258888
1283.0,660000
2184.207862,300000
1270.0,318888
2184.207862,330000
747.0,747000
2184.207862,699000
2184.207862,875000
1100.0,385000
2184.207862,985000
1017.0,349000
2184.207862,5950000
1344.0,968000
2184.207862,569000
650.0,238000
5712.0,1200000
2184.207862,4995000
1596.0,911600
1144.0,598000
700.0,472000
2184.207862,549000
12200.0,3995000
700.0,472000
1144.0,598000
1200.0,1085000
1535.0,680000
637.0,200000
1000.0,210000
996.0,525000
2184.207862,999000
5400.0,1799000
5000.0,1900000
1200.0,519000
960.0,728900
2184.207862,549000
4346.0,2300000
1300.0,299999
2832.0,1800000
2184.207862,1195000
2184.207862,200000
4346.0,2300000
2832.0,1800000
1300.0,299999
1095.0,599000
3050.0,7500000
2184.207862,1775000
2184.207862,1059000
1672.0,1288888
3448.0,1299999
2700.0,1399999
2410.0,725000
2184.207862,232500
2184.207862,250000
862.0,639000
2060.0,950000
4000.0,12500000
2184.207862,430000
2184.207862,299000
1400.0,279000
1508.0,1725000
3620.0,1698000
1354.0,438000
512.0,100000
2184.207862,299000
995.0,625000
1520.0,350000
2184.207862,699999
2184.207862,529000
7058.0,23000000
1208.0,599000
900.0,279900
875.0,165000
2184.207862,270000
825.0,625000
900.0,279900
7058.0,23000000
3111.0,1970000
1780.0,580000
1272.0,979000
2184.207862,269000
2184.207862,1700000
2184.207862,499000
2275.0,1699888
2184.207862,3100000
1752.0,499000
3312.0,1250000
900.0,245000
6360.0,5800000
4270.0,2350000
450.0,425000
2340.0,799000
1700.0,725000
1697.0,3695000
3600.0,3100000
2184.207862,1499999
2184.207862,1250000
1840.0,1199000
5000.0,28000000
2184.207862,719000
2184.207862,169000
850.0,99000
1601.0,399000
1140.0,1300000
2184.207862,888000
2184.207862,1308888
2184.207862,1265000
751.0,558000
2340.0,1280000
1450.0,429000
853.0,399900
1040.0,499900
1450.0,429000
2334.0,2489000
950.0,255500
6000.0,30000000
2184.207862,395000
2184.207862,1090000
2175.0,471300
3918.0,9450000
1720.0,1089000
500.0,220000
8000.0,9950000
950.0,295000
2704.0,1375000
1050.0,399000
800.0,219999
2184.207862,129000
2184.207862,329000
1856.0,639000
1240.0,750000
1763.0,499999
2184.207862,560000
1513.0,1268000
2800.0,1899000
2184.207862,129000
1600.0,888000
7200.0,2100000
6707.0,2900000
2184.207862,1250000
2184.207862,1078000
2950.0,3200000
2184.207862,555555
2184.207862,293900
1192.0,1175000
2184.207862,160000
1880.0,999999
2000.0,1448000
5436.0,2950000
600.0,150000
673.0,354900
2184.207862,580000
1776.0,969000
538.0,530000
7723.0,3900000
2184.207862,624999
2184.207862,551000
2184.207862,14800000
1122.0,450000
1296.0,475000
2184.207862,995000
2184.207862,650000
2184.207862,250000
600.0,125000
2195.0,2200000
2184.207862,925000
2184.207862,639000
1509.0,215000
5600.0,2050000
1050.0,279000
968.0,785000
1312.0,669000
2880.0,3650000
3740.0,6700000
2184.207862,681000
1672.0,530000
1580.0,1700000
1085.0,339000
1224.0,800000
700.0,189000
2184.207862,48000000
2184.207862,4995000
2050.0,835000
1198.0,999999
877.0,575000
2184.207862,349750
2184.207862,385000
3397.0,7950000
1100.0,324900
2184.207862,175000
2184.207862,915999
5250.0,1850000
7488.0,40000000
1100.0,324900
5250.0,1850000
800.0,175000
775.0,850000
2184.207862,729000
4000.0,5995000
2184.207862,480000
4480.0,4200000
2184.207862,1198000
3676.0,1848000
750.0,285000
2460.0,849000
1250.0,549000
1700.0,729000
2184.207862,199999
9000.0,4900000
1728.0,600000
1340.0,599000
2268.0,599000
1185.0,725000
2600.0,1295000
1500.0,798888
1800.0,529000
2400.0,999998
615.0,499000
3000.0,1550000
2184.207862,319000
1424.0,759000
260.0,245000
1548.0,1249000
939.0,455000
2184.207862,319000
2024.0,999900
666.0,395000
430.0,620000
3264.0,1295000
1241.0,849000
5500.0,8995000
2184.207862,650000
1452.0,2995000
800.0,495000
1222.0,675000
600.0,999000
1334.0,2250000
3720.0,1299000
640.0,429000
2184.207862,649999
9000.0,10995000
3000.0,2050000
1456.0,1299000
2200.0,1075000
800.0,174000
1518.0,1193000
2184.207862,4995000
10500.0,12500000
2828.0,898000
1500.0,1288000
2600.0,1749999
1253.0,575000
2183.0,5100000
1321.0,2000000
850.0,170000
2100.0,1295000
1332.0,749000
3640.0,1848000
2184.207862,465000
2184.207862,298999
780.0,209900
2184.207862,539000
2184.207862,2975000
2184.207862,2099000
925.0,199900
2184.207862,789000
1565.0,919000
2184.207862,815599
3305.0,1050000
830.0,289999
2184.207862,4050000
3375.0,7750000
3192.0,1998000
1281.0,1250000
1058.0,680000
2184.207862,1299000
2184.207862,899000
2184.207862,845000
1200.0,2098000
1300.0,899000
2184.207862,758888
2184.207862,650000
850.0,169000
2184.207862,1350000
2184.207862,695000
2280.0,1499000
381.0,395000
850.0,169000
381.0,395000
2184.207862,445000
1400.0,499000
2184.207862,449000
1120.0,649000
756.0,335000
2184.207862,838000
1098.0,1495000
3068.0,980000
1344.0,688000
2184.207862,679000
1900.0,999888
500.0,375000
2184.207862,848724
2184.207862,1595000
1253.0,568000
3980.0,1153000
2184.207862,2399000
800.0,349000
3600.0,2999990
1400.0,899000
2184.207862,169000
1217.0,449999
2116.0,886545
1280.0,495000
2150.0,749000
2129.0,875000
2184.207862,1630000
720.0,849000
650.0,110000
650.0,299999
2184.207862,335000
1200.0,549000
1250.0,445000
1188.0,459000
1252.0,399998
3655.0,9500000
1957.0,999000
1482.0,650000
2100.0,880000
2082.0,1350000
2184.207862,599000
2184.207862,225000
2184.207862,220000
2184.207862,289000
2184.207862,350000
2082.0,1350000
2100.0,880000
2184.207862,719999
807.0,1100000
950.0,259000
2754.0,1699999
2184.207862,669000
6290.0,3400000
2184.207862,549000
2184.207862,250000
2184.207862,299000
2184.207862,1288000
1875.0,3345000
2184.207862,1198000
1260.0,897888
1604.0,575000
2184.207862,230000
2184.207862,775000
2184.207862,250000
1875.0,3345000
6290.0,3400000
1604.0,575000
1260.0,897888
2184.207862,1198000
2184.207862,1288000
3512.0,2100000
2184.207862,230000
3600.0,1080000
718.0,378888
1027.0,750000
2184.207862,775000
2184.207862,7495000
1440.0,698888
626.0,850000
2800.0,2999999
